Y:-4.53,AccelZ:10.06, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-1.33,AccelY:-10.71,AccelZ:2.68, GyroX:0.54,GyroY:-0.40,GyroZ:0.62
AccelX:-1.38,AccelY:-10.26,AccelZ:2.87, GyroX:-0.17,GyroY:-0.05,GyroZ:0.56
AccelX:-1.38,AccelY:-10.25,AccelZ:2.82, GyroX:-0.67,GyroY:0.06,GyroZ:0.69
AccelX:-0.78,AccelY:-10.00,AccelZ:3.26, GyroX:-0.83,GyroY:0.24,GyroZ:0.51
AccelX:-0.63,AccelY:-9.56,AccelZ:3.05, GyroX:-1.03,GyroY:0.02,GyroZ:0.46
AccelX:-0.87,AccelY:-6.42,AccelZ:3.10, GyroX:-1.51,GyroY:0.15,GyroZ:0.50
AccelX:-0.94,AccelY:-10.32,AccelZ:3.98, GyroX:-1.46,GyroY:-0.49,GyroZ:0.35
AccelX:-1.21,AccelY:-9.96,AccelZ:3.17, GyroX:-1.02,GyroY:-0.64,GyroZ:-0.32
AccelX:-0.72,AccelY:-9.35,AccelZ:4.25, GyroX:-0.90,GyroY:-0.73,GyroZ:-0.34
AccelX:-1.13,AccelY:-10.35,AccelZ:2.12, GyroX:-0.59,GyroY:-1.10,GyroZ:-0.79
AccelX:-1.34,AccelY:-9.60,AccelZ:0.86, GyroX:-0.90,GyroY:-0.57,GyroZ:-0.28
AccelX:-1.08,AccelY:-10.11,AccelZ:1.95, GyroX:-1.35,GyroY:-0.30,GyroZ:-0.19
AccelX:-0.85,AccelY:-10.07,AccelZ:2.33, GyroX:-1.78,GyroY:-0.01,GyroZ:-0.09
AccelX:-0.68,AccelY:-9.75,AccelZ:2.89, GyroX:-1.89,GyroY:0.01,GyroZ:-0.03
AccelX:-0.65,AccelY:-9.48,AccelZ:1.94, GyroX:-1.88,GyroY:0.07,GyroZ:0.02
AccelX:-0.86,AccelY:-9.97,AccelZ:1.00, GyroX:-2.04,GyroY:0.55,GyroZ:0.17
AccelX:-0.86,AccelY:-10.13,AccelZ:0.21, GyroX:-1.87,GyroY:0.87,GyroZ:0.14
AccelX:-0.74,AccelY:-10.34,AccelZ:0.79, GyroX:-1.56,GyroY:1.45,GyroZ:0.08
AccelX:-0.54,AccelY:-10.46,AccelZ:1.90, GyroX:-1.11,GyroY:1.50,GyroZ:-0.04
AccelX:-0.86,AccelY:-10.38,AccelZ:1.25, GyroX:-0.77,GyroY:1.46,GyroZ:-0.22
AccelX:-0.99,AccelY:-9.93,AccelZ:0.28, GyroX:-0.60,GyroY:1.58,GyroZ:-0.37
AccelX:-0.68,AccelY:-9.49,AccelZ:0.50, GyroX:-0.61,GyroY:1.69,GyroZ:-0.46
AccelX:-0.31,AccelY:-8.60,AccelZ:0.79, GyroX:-0.78,GyroY:1.57,GyroZ:-0.26
AccelX:-0.11,AccelY:-8.27,AccelZ:0.96, GyroX:-0.82,GyroY:1.33,GyroZ:-0.18
AccelX:-0.19,AccelY:-8.36,AccelZ:1.01, GyroX:-0.80,GyroY:1.22,GyroZ:0.08
AccelX:0.05,AccelY:-8.39,AccelZ:1.15, GyroX:-0.71,GyroY:1.06,GyroZ:0.12
AccelX:-0.23,AccelY:-9.24,AccelZ:0.29, GyroX:-0.71,GyroY:0.89,GyroZ:0.26
AccelX:-0.34,AccelY:-9.45,AccelZ:-0.44, GyroX:-0.77,GyroY:0.88,GyroZ:0.32
AccelX:-0.23,AccelY:-9.70,AccelZ:-0.04, GyroX:-0.92,GyroY:0.80,GyroZ:0.35
AccelX:0.05,AccelY:-10.13,AccelZ:0.69, GyroX:-0.89,GyroY:0.62,GyroZ:0.30
AccelX:-0.01,AccelY:-9.86,AccelZ:0.79, GyroX:-0.77,GyroY:0.34,GyroZ:0.28
AccelX:-0.08,AccelY:-9.60,AccelZ:0.76, GyroX:-0.65,GyroY:0.12,GyroZ:0.24
AccelX:0.06,AccelY:-9.61,AccelZ:0.84, GyroX:-0.60,GyroY:-0.17,GyroZ:0.21
