angleX,angleY,angleZ,label
-32.28,-33.85,-1.98,0
-33.04,-37.1,-0.51,0
-31.71,-40.35,2.45,0
-28.46,-43.61,5.3,0
-25.21,-46.86,6.08,0
-26.85,-48.6,5.93,0
-30.1,-46.19,6.94,0
-33.35,-42.94,7.43,0
-36.61,-39.69,6.02,0
-37.51,-37.62,3.68,0
-36.16,-36.51,1.77,0
-34.4,-35.65,0.16,0
-32.67,-34.96,-1.4,0
-30.0,-34.83,-2.86,0
-26.75,-35.01,-5.27,0
-25.12,-34.56,-8.52,0
-26.87,-33.18,-11.4,0
-28.81,-33.76,-11.3,0
-26.58,-33.68,-14.56,0
-25.5,-32.98,-17.81,0
-27.38,-30.84,-20.81,0
-30.64,-27.59,-21.17,0
-33.89,-24.34,-21.15,0
-34.97,-21.67,-21.93,0
-33.55,-24.04,-23.35,0
-36.8,-24.34,-23.13,0
-36.2,-23.48,-23.13,0
-37.16,-23.0,-23.4,0
-39.71,-23.41,-22.38,0
-39.11,-25.29,-21.43,0
-38.32,-27.63,-21.81,0
-38.4,-28.95,-22.48,0
-39.4,-28.81,-22.41,0
-41.33,-27.44,-22.1,0
-43.42,-26.02,-21.6,0
-41.68,-28.18,-20.81,0
-40.05,-30.55,-19.73,0
-37.89,-33.31,-19.16,0
-35.13,-35.56,-18.29,0
-32.57,-36.86,-16.86,0
-31.64,-37.2,-15.11,0
-30.83,-37.36,-13.01,0
-28.48,-37.92,-10.84,0
-25.77,-39.19,-9.23,0
-22.69,-41.57,-8.75,0
-19.44,-44.83,-9.38,0
-16.19,-48.08,-10.27,0
-12.94,-50.94,-10.32,0
-11.72,-52.33,-9.09,0
-14.97,-50.56,-7.54,0
-18.22,-47.31,-4.29,0
-21.48,-44.06,-1.04,0
-24.73,-40.81,2.21,0
-27.98,-38.28,5.47,0
-28.67,-37.47,7.33,0
-25.42,-38.21,10.33,0
-22.17,-39.19,13.59,0
-18.92,-39.55,16.84,0
-15.67,-37.45,19.96,0
-18.92,-34.2,23.21,0
-21.15,-30.95,26.46,0
-21.34,-27.69,29.72,0
-19.67,-24.44,32.06,0
-17.01,-21.19,32.78,0
-13.76,-17.94,31.2,0
-17.01,-14.69,33.99,0
-20.26,-11.44,37.24,0
-23.52,-8.18,40.49,0
-20.26,-4.93,43.75,0
-17.01,-1.68,47.0,0
-14.14,1.57,50.25,0
-13.47,2.32,51.5,0
-16.07,-0.94,49.97,0
-19.32,-4.19,46.95,0
-20.07,-7.44,43.7,0
-18.68,-10.69,40.45,0
-15.98,-13.94,37.46,0
-12.77,-17.2,35.45,0
-10.56,-20.45,34.09,0
-10.42,-22.47,33.14,0
-11.66,-22.62,32.46,0
-12.75,-21.84,31.72,0
-13.33,-19.37,30.67,0
-16.08,-16.11,30.42,0
-19.33,-12.86,30.83,0
-20.26,-9.61,31.07,0
-17.3,-6.36,30.73,0
-14.39,-4.18,30.64,0
-13.9,-4.91,31.6,0
-14.48,-8.17,32.93,0
-15.69,-11.42,34.06,0
-17.66,-14.67,34.64,0
-20.31,-17.15,34.8,0
-21.93,-19.16,34.38,0
-22.87,-21.0,33.96,0
-24.09,-22.59,33.55,0
-25.87,-24.11,32.98,0
-27.6,-26.0,32.06,0
-28.54,-28.71,30.89,0
-28.42,-31.96,29.77,0
-27.23,-35.21,28.8,0
-25.62,-38.46,28.02,0
-25.26,-41.72,27.73,0
-26.39,-44.78,27.91,0
-27.6,-47.43,28.31,0
-27.93,-50.06,28.84,0
-26.94,-52.53,29.61,0
-24.74,-54.35,30.73,0
-21.98,-55.1,32.07,0
-19.05,-54.33,33.18,0
-16.51,-51.74,33.78,0
-14.86,-48.49,34.02,0
-14.08,-45.24,34.09,0
-16.36,-41.99,35.57,0
-19.62,-38.74,38.82,0
-22.87,-35.49,42.08,0
-24.42,-32.23,45.33,0
-23.61,-32.06,45.08,0
-24.37,-35.31,42.59,0
-25.6,-38.56,39.44,0
-24.23,-41.82,36.19,0
-23.24,-45.07,33.9,0
-23.06,-48.3,32.67,0
-22.87,-50.11,32.01,0
-22.99,-50.66,32.15,0
-23.01,-50.22,32.94,0
-23.03,-48.88,34.12,0
-23.63,-46.59,35.49,0
-25.25,-43.87,36.56,0
-27.56,-42.54,36.88,0
-28.54,-43.11,36.08,0
-29.14,-44.41,35.12,0
-29.55,-46.05,34.24,0
-29.91,-47.72,33.56,0
-30.18,-49.5,33.24,0
-30.18,-51.24,33.29,0
-29.85,-52.55,33.68,0
-29.46,-53.0,34.39,0
-29.31,-52.48,35.49,0
-29.15,-51.32,36.79,0
-28.57,-49.35,38.08,0
-28.66,-46.5,39.54,0
-29.54,-43.25,41.19,0
-31.3,-40.08,42.33,0
-32.0,-39.2,42.06,0
-31.87,-40.32,40.99,0
-31.06,-42.36,39.88,0
-30.18,-44.64,38.9,0
-30.38,-46.46,38.22,0
-30.68,-47.75,37.6,0
-30.52,-48.63,37.2,0
-30.03,-49.04,37.21,0
-30.02,-48.91,37.61,0
-30.57,-48.5,38.1,0
-30.52,-48.41,38.17,0
-29.85,-48.78,37.6,0
-29.22,-49.22,36.82,0
-29.11,-49.38,36.12,0
-28.96,-49.41,35.43,0
-28.82,-49.52,34.81,0
-28.54,-49.84,34.32,0
