angleX,angleY,angleZ,label
-27.72,-5.2,5.18,0
-27.89,-5.31,5.31,0
-28.15,-5.8,5.65,0
-29.57,-4.14,4.33,0
-28.55,-2.12,1.51,0
-27.84,-0.84,0.88,0
-26.15,-0.17,2.39,0
-27.46,0.54,5.2,0
-29.76,1.21,7.23,0
-31.28,2.38,8.7,0
-32.51,3.87,10.45,0
-34.21,4.69,12.35,0
-35.63,5.04,14.24,0
-36.71,5.37,15.99,0
-37.81,5.86,17.97,0
-38.88,6.35,20.17,0
-40.12,6.09,21.46,0
-38.7,3.92,19.05,0
-37.55,1.35,17.15,0
-34.3,-0.27,16.49,0
-31.05,-1.49,16.34,0
-33.54,-3.03,16.21,0
-33.8,-3.63,14.44,0
-32.88,-3.45,13.88,0
-30.59,-4.17,14.44,0
-29.51,-5.51,14.84,0
-31.12,-7.05,14.09,0
-31.38,-8.83,13.08,0
-28.13,-10.68,12.39,0
-24.88,-12.37,11.93,0
-26.06,-12.59,11.51,0
-27.81,-12.13,11.22,0
-27.75,-11.87,11.1,0
-26.94,-12.19,11.14,0
-26,-12.72,11.21,0
-25.74,-13.02,11.18,0
-25.77,-13.04,11.16,0
-25.89,-13.01,11.08,0
-26.56,-12.65,10.95,0
-26.82,-12.18,10.9,0
-28.27,-9.73,10.82,0
-31.12,-6.55,10.74,0
-33.72,-3.3,9.83,0
-36.97,-0.7,11.27,0
-40.23,1.85,13.34,0
-43.48,4.3,15.13,0
-46.02,6.41,16.98,0
-47.77,8.04,18.74,0
-49,9.39,20.26,0
-49.49,10.05,21.15,0
-49.23,10.07,21.18,0
-48.05,9.45,20.49,0
-45.33,8.04,19.02,0
-42.07,5.83,17.3,0
-38.82,2.57,16.43,0
-36.79,-0.35,15.66,0
-35.95,-2.61,14.26,0
-34.79,-5.45,12.89,0
-32.6,-8.7,11.39,0
-29.34,-11.95,10.15,0
-31.43,-11.37,10.05,0
-32.36,-10.73,10.34,0
-32.45,-10.65,10.79,0
-31.94,-10.97,10.9,0
-32.4,-11.2,10.84,0
-31.82,-10.56,9.57,0
-32.04,-9.8,7.63,0
-32.75,-8.79,5.87,0
-34.03,-7.48,5.75,0
-36.88,-6.8,6.93,0
-39.3,-5.92,7.84,0
-41.11,-5.09,8.52,0
-42.73,-4.73,9.15,0
-44.07,-4.4,9.75,0
-45.13,-3.96,10.47,0
-47.13,-3.7,11.39,0
-48.95,-3.38,12.36,0
-50.06,-2.7,13.72,0
-50.26,-2.1,15.44,0
-49.63,-1.66,17.26,0
-48.32,-1.04,18.67,0
-46.86,-0.19,19.57,0
-45.9,0.86,20.34,0
-45.7,1.81,20.56,0
-46.38,1.99,21.4,0
-43.55,2.5,22.67,0
-41.06,2.9,22.77,0
-40.36,2.54,21.96,0
-37.11,2.28,20.37,0
-35.65,5.01,19.02,0
-36.88,7.36,18.11,0
-35.82,8.28,17.48,0
-34.71,9.26,16.84,0
-32.48,10.53,16.5,0
-29.52,10.97,16.83,0
-26.64,10.6,17.2,0
-23.39,10.18,17.91,0
-21.34,10.1,18.68,0
-20.31,10.34,19.18,0
-20.03,10.21,19.72,0
-21.03,10.85,19.87,0
-21.54,12.39,19.26,0
-22.39,13.39,18.63,0
-23.56,13.86,17.99,0
-24.8,13.56,17.8,0
-26.74,12.74,18.16,0
-29.04,11.41,18.32,0
-32.09,9.14,17.31,0
-34.04,6.49,16.29,0
-33.51,4.59,15.47,0
-32.34,3.01,14.48,0
-33.25,1.71,13.57,0
-33.62,0.44,12.89,0
-31.66,-0.92,12.44,0
-31.95,-2.06,11.48,0
-32.98,-2.89,10.47,0
-33.16,-3.95,9.67,0
-34.25,-5.07,9.03,0
-35,-5.16,8.66,0
-34.77,-4.61,8.74,0
-34.42,-4.05,8.88,0
-34.52,-3.61,8.93,0
-34.74,-3.44,8.78,0
-34.92,-3.09,8.46,0
-35.07,-2.52,7.84,0
-35.17,-2.15,7.4,0
-35.24,-2.25,7.38,0
-35.38,-2.93,7.51,0
-35.58,-3.83,7.75,0
-36.12,-4.82,8.23,0
-36.48,-5.78,9.02,0
-36.43,-6.4,9.64,0
-36.1,-6.83,9.91,0
-35.87,-7.66,9.94,0
-36.39,-9.28,9.82,0
-37.86,-11.59,9.69,0
-39.11,-13.72,9.34,0
-39.68,-15,9.02,0
-39.03,-15.47,9,0
-37.92,-15.79,9.17,0
-37.81,-16.56,9.42,0
-38.11,-17.62,9.73,0
-38.57,-18.7,10.05,0
-38.79,-19.65,10.57,0
-40.85,-19.97,11.18,0
-38.67,-19.08,10.72,0
-39.66,-18.85,10.83,0
-41.52,-19.22,11.47,0
-41.31,-17.81,11.52,0
-40.11,-16.49,11.32,0
-39.65,-15.86,11.33,0
-39.91,-15.39,11.38,0
-39.58,-14.76,11.43,0
-39.5,-14.34,11.05,0
-39.99,-14.17,10.15,0
-41.91,-12.37,9.7,0
-45.11,-9.65,9.82,0
-48.37,-6.55,10.16,0
-51.53,-3.3,10.44,0
-54.35,-0.04,11.03,0
-56.57,2.94,11.89,0
-57.99,5.46,12.78,0
